dataset,size,algorithm,time_us,char_comparisons
"random",100,"standard_quicksort",6,2189
"random",100,"standard_mergesort",29,689
"random",100,"string_quicksort",51,990
"random",100,"string_mergesort",22,522
"random",100,"msd_radix_sort",31,0
"random",100,"msd_radix_sort_with_quick",17,164
"random",200,"standard_quicksort",14,5342
"random",200,"standard_mergesort",63,1684
"random",200,"string_quicksort",95,2581
"random",200,"string_mergesort",44,1200
"random",200,"msd_radix_sort",59,0
"random",200,"msd_radix_sort_with_quick",36,534
"random",300,"standard_quicksort",24,7885
"random",300,"standard_mergesort",113,2724
"random",300,"string_quicksort",156,3764
"random",300,"string_mergesort",98,1936
"random",300,"msd_radix_sort",98,0
"random",300,"msd_radix_sort_with_quick",75,988
"random",400,"standard_quicksort",45,10443
"random",400,"standard_mergesort",197,4037
"random",400,"string_quicksort",218,5526
"random",400,"string_mergesort",110,2701
"random",400,"msd_radix_sort",114,0
"random",400,"msd_radix_sort_with_quick",106,1539
"random",500,"standard_quicksort",58,14116
"random",500,"standard_mergesort",282,5214
"random",500,"string_quicksort",236,8131
"random",500,"string_mergesort",148,3518
"random",500,"msd_radix_sort",136,0
"random",500,"msd_radix_sort_with_quick",138,2165
"random",600,"standard_quicksort",73,18194
"random",600,"standard_mergesort",339,6509
"random",600,"string_quicksort",273,9075
"random",600,"string_mergesort",166,4361
"random",600,"msd_radix_sort",149,0
"random",600,"msd_radix_sort_with_quick",171,2772
"random",700,"standard_quicksort",78,19536
"random",700,"standard_mergesort",362,8014
"random",700,"string_quicksort",305,11105
"random",700,"string_mergesort",173,5242
"random",700,"msd_radix_sort",155,0
"random",700,"msd_radix_sort_with_quick",185,3533
"random",800,"standard_quicksort",87,22788
"random",800,"standard_mergesort",408,9561
"random",800,"string_quicksort",350,13761
"random",800,"string_mergesort",201,6080
"random",800,"msd_radix_sort",167,0
"random",800,"msd_radix_sort_with_quick",213,4139
"random",900,"standard_quicksort",102,27204
"random",900,"standard_mergesort",460,11363
"random",900,"string_quicksort",365,16414
"random",900,"string_mergesort",230,6988
"random",900,"msd_radix_sort",186,0
"random",900,"msd_radix_sort_with_quick",247,4931
"random",1000,"standard_quicksort",114,29542
"random",1000,"standard_mergesort",559,12434
"random",1000,"string_quicksort",373,16133
"random",1000,"string_mergesort",231,7898
"random",1000,"msd_radix_sort",191,0
"random",1000,"msd_radix_sort_with_quick",258,5896
"random",1100,"standard_quicksort",118,34521
"random",1100,"standard_mergesort",588,13566
"random",1100,"string_quicksort",407,18047
"random",1100,"string_mergesort",259,8827
"random",1100,"msd_radix_sort",215,0
"random",1100,"msd_radix_sort_with_quick",287,6663
"random",1200,"standard_quicksort",130,39367
"random",1200,"standard_mergesort",638,15268
"random",1200,"string_quicksort",452,21258
"random",1200,"string_mergesort",279,9752
"random",1200,"msd_radix_sort",232,0
"random",1200,"msd_radix_sort_with_quick",317,7498
"random",1300,"standard_quicksort",145,42140
"random",1300,"standard_mergesort",675,17050
"random",1300,"string_quicksort",476,21941
"random",1300,"string_mergesort",297,10740
"random",1300,"msd_radix_sort",246,0
"random",1300,"msd_radix_sort_with_quick",341,8215
"random",1400,"standard_quicksort",151,46472
"random",1400,"standard_mergesort",718,18758
"random",1400,"string_quicksort",510,22932
"random",1400,"string_mergesort",332,11745
"random",1400,"msd_radix_sort",263,0
"random",1400,"msd_radix_sort_with_quick",366,9133
"random",1500,"standard_quicksort",161,50086
"random",1500,"standard_mergesort",756,20492
"random",1500,"string_quicksort",536,28716
"random",1500,"string_mergesort",323,12686
"random",1500,"msd_radix_sort",272,0
"random",1500,"msd_radix_sort_with_quick",378,10251
"random",1600,"standard_quicksort",167,58737
"random",1600,"standard_mergesort",792,22406
"random",1600,"string_quicksort",604,35419
"random",1600,"string_mergesort",350,13691
"random",1600,"msd_radix_sort",303,0
"random",1600,"msd_radix_sort_with_quick",409,10992
"random",1700,"standard_quicksort",174,55588
"random",1700,"standard_mergesort",826,24309
"random",1700,"string_quicksort",545,28937
"random",1700,"string_mergesort",352,14652
"random",1700,"msd_radix_sort",300,0
"random",1700,"msd_radix_sort_with_quick",416,12196
"random",1800,"standard_quicksort",175,59814
"random",1800,"standard_mergesort",832,26407
"random",1800,"string_quicksort",621,37603
"random",1800,"string_mergesort",370,15684
"random",1800,"msd_radix_sort",315,0
"random",1800,"msd_radix_sort_with_quick",434,12826
"random",1900,"standard_quicksort",186,68008
"random",1900,"standard_mergesort",873,28171
"random",1900,"string_quicksort",596,33368
"random",1900,"string_mergesort",377,16568
"random",1900,"msd_radix_sort",326,0
"random",1900,"msd_radix_sort_with_quick",456,13935
"random",2000,"standard_quicksort",194,74311
"random",2000,"standard_mergesort",968,28792
"random",2000,"string_quicksort",655,38680
"random",2000,"string_mergesort",391,17636
"random",2000,"msd_radix_sort",346,0
"random",2000,"msd_radix_sort_with_quick",473,15425
"random",2100,"standard_quicksort",193,74044
"random",2100,"standard_mergesort",1022,29759
"random",2100,"string_quicksort",647,39814
"random",2100,"string_mergesort",412,18703
"random",2100,"msd_radix_sort",361,0
"random",2100,"msd_radix_sort_with_quick",498,16262
"random",2200,"standard_quicksort",197,73771
"random",2200,"standard_mergesort",1061,31604
"random",2200,"string_quicksort",686,46274
"random",2200,"string_mergesort",414,19691
"random",2200,"msd_radix_sort",374,0
"random",2200,"msd_radix_sort_with_quick",508,16964
